"Index","sma","pos","pos.num","pos.bars","pos.add","pos.drop","pos.add.num","pos.drop.num","action","state","SPFB.SI.Open","SPFB.SI.pos","SPFB.SI.ret","SPFB.SI.cret","cret","balance","im.balance","n","diff.n","margin","commiss","equity","perfReturn","SPFB.SI.n","SPFB.SI.diff.n","SPFB.SI.commiss","SPFB.SI.margin","SPFB.SI.perfReturn","SPFB.SI.equity","SPFB.SI.balance"
2016-02-12 12:00:00,80090,0,29,4,0,0,0,0,1,-1,79889,0,-415,-415,-415,621764,0,0,-2,-830,20,-378236,-850,0,-2,20,-830,-850,-378236,621764
2016-02-12 12:00:00,80090,-1,30,0,0,0,0,0,1,-1,79889,-1,0,0,0,600660,21064,4,4,0,40,-378276,-40,4,4,40,0,-40,-378276,621724
2016-02-12 12:45:00,80102,0,30,2,0,0,0,0,1,1,80109,0,-220,-220,-220,620804,0,0,-4,-880,40,-379196,-920,0,-4,40,-880,-920,-379196,620804
2016-02-12 12:45:00,80102,1,31,0,0,0,0,0,1,1,80109,1,0,0,0,599700,21064,4,4,0,40,-379236,-40,4,4,40,0,-40,-379236,620764
2016-02-12 13:00:00,80108,0,31,0,0,0,0,0,1,-1,80004,0,-105,-105,-105,620304,0,0,-4,-420,40,-379696,-460,0,-4,40,-420,-460,-379696,620304
2016-02-12 13:00:00,80108,-1,32,0,0,0,0,0,1,-1,80004,-1,0,0,0,599200,21064,4,4,0,40,-379736,-40,4,4,40,0,-40,-379736,620264
2016-02-12 13:15:00,80115,-1,32,1,0,1,0,1,0,-1,80019,-1,-15,-15,-15,609652,10532,2,-2,-60,20,-379816,-80,2,-2,20,-60,-80,-379816,620184
2016-02-12 13:45:00,80128,-1,32,3,0,1,0,2,0,-1,80071,-1,-52,-52,-52,614804,5266,1,-1,-104,10,-379930,-114,1,-1,10,-104,-114,-379930,620070
2016-02-12 14:04:00,80131,-1,32,4,0,1,0,3,0,-1,80092,-1,-21,-21,-21,620039,0,0,-1,-21,10,-379961,-31,0,-1,10,-21,-31,-379961,620039
2016-02-16 16:30:00,78089,1,33,0,0,0,0,0,1,1,78407,1,0,0,0,598935,21064,4,4,0,40,-380001,-40,4,4,40,0,-40,-380001,619999
2016-02-16 17:15:00,78061,1,33,3,0,1,0,1,0,1,78103,1,-304,-304,-304,608231,10532,2,-2,-1216,20,-381237,-1236,2,-2,20,-1216,-1236,-381237,618763
2016-02-16 19:30:00,78018,1,33,11,1,0,1,1,0,1,78415,1,312,312,312,598303,21064,4,2,624,20,-380633,604,4,2,20,624,604,-380633,619367
2016-02-16 22:00:00,77980,1,33,21,1,0,2,1,0,1,78520,1,105,105,105,577619,42128,8,4,420,40,-380253,380,8,4,40,420,380,-380253,619747
2016-02-17 10:30:00,77988,1,33,31,1,0,3,1,0,1,78575,1,55,55,55,535851,84256,16,8,440,80,-379893,360,16,8,80,440,360,-379893,620107
2016-02-17 11:15:00,77992,1,33,34,0,1,3,2,0,1,78254,1,-321,-321,-321,572763,42128,8,-8,-5136,80,-385109,-5216,8,-8,80,-5136,-5216,-385109,614891
2016-02-17 12:00:00,77999,1,33,37,0,1,3,3,0,1,78031,1,-223,-223,-223,592003,21064,4,-4,-1784,40,-386933,-1824,4,-4,40,-1784,-1824,-386933,613067
2016-02-17 12:15:00,77999,1,33,38,0,1,3,4,0,1,78106,1,75,75,75,602815,10532,2,-2,300,20,-386653,280,2,-2,20,300,280,-386653,613347
2016-02-17 12:30:00,78000,0,33,38,0,0,0,0,1,-1,77990,0,-116,-116,-116,613095,0,0,-2,-232,20,-386905,-252,0,-2,20,-232,-252,-386905,613095
2016-02-17 12:30:00,78000,-1,34,0,0,0,0,0,1,-1,77990,-1,0,0,0,591991,21064,4,4,0,40,-386945,-40,4,4,40,0,-40,-386945,613055
2016-02-17 12:45:00,78001,-1,34,1,0,1,0,1,0,-1,77878,-1,112,112,112,602951,10532,2,-2,448,20,-386517,428,2,-2,20,448,428,-386517,613483
2016-02-17 15:15:00,77966,-1,34,11,1,0,1,1,0,-1,77463,-1,415,415,415,593229,21064,4,2,830,20,-385707,810,4,2,20,830,810,-385707,614293
2016-02-17 17:45:00,77853,-1,34,21,1,0,2,1,0,-1,77106,-1,357,357,357,573553,42128,8,4,1428,40,-384319,1388,8,4,40,1428,1388,-384319,615681
2016-02-17 20:30:00,77652,-1,34,31,1,0,3,1,0,-1,75814,-1,1292,1292,1292,541681,84256,16,8,10336,80,-374063,10256,16,8,80,10336,10256,-374063,625937
2016-02-17 23:00:00,77529,-1,34,41,1,0,4,1,0,-1,75885,-1,-71,-71,-71,456129,168512,32,16,-1136,160,-375359,-1296,32,16,160,-1136,-1296,-375359,624641
2016-02-18 11:30:00,77347,-1,34,51,1,0,5,1,0,-1,75862,-1,23,23,23,288033,337024,64,32,736,320,-374943,416,64,32,320,736,416,-374943,625057
2016-02-18 14:05:00,77122,-1,34,61,1,0,6,1,0,-1,75577,-1,285,285,285,-31391,674048,128,64,18240,640,-357343,17600,128,64,640,18240,17600,-357343,642657
2016-02-18 16:30:00,76867,-1,34,71,1,0,7,1,0,-1,75963,-1,-386,-386,-386,-756127,1348096,256,128,-49408,1280,-408031,-50688,256,128,1280,-49408,-50688,-408031,591969
2016-02-18 19:15:00,76651,0,34,80,1,0,1,0,1,1,76705,0,-742,-742,-742,399457,0,0,-256,-189952,2560,-600543,-192512,0,-256,2560,-189952,-192512,-600543,399457
2016-02-18 19:15:00,76651,1,35,0,1,0,1,0,1,1,76705,1,0,0,0,378353,21064,4,4,0,40,-600583,-40,4,4,40,0,-40,-600583,399417
2016-02-18 19:30:00,76635,1,35,1,0,1,1,1,0,1,76711,1,6,6,6,388889,10532,2,-2,24,20,-600579,4,2,-2,20,24,4,-600579,399421
2016-02-18 20:15:00,76584,1,35,4,0,1,1,2,0,1,76746,1,35,35,35,394215,5266,1,-1,70,10,-600519,60,1,-1,10,70,60,-600519,399481
2016-02-18 22:00:00,76468,1,35,11,1,0,2,2,0,1,76991,1,245,245,245,389184,10532,2,1,245,10,-600284,235,2,1,10,245,235,-600284,399716
2016-02-19 10:30:00,76360,1,35,21,1,0,3,2,0,1,76903,1,-88,-88,-88,378456,21064,4,2,-176,20,-600480,-196,4,2,20,-176,-196,-600480,399520
2016-02-19 13:00:00,76290,1,35,31,1,0,4,2,0,1,76853,1,-50,-50,-50,357152,42128,8,4,-200,40,-600720,-240,8,4,40,-200,-240,-600720,399280
2016-02-19 15:30:00,76301,1,35,41,1,0,5,2,0,1,77178,1,325,325,325,317544,84256,16,8,2600,80,-598200,2520,16,8,80,2600,2520,-598200,401800
2016-02-19 18:00:00,76482,1,35,51,1,0,6,2,0,1,77877,1,699,699,699,244312,168512,32,16,11184,160,-587176,11024,32,16,160,11184,11024,-587176,412824
2016-02-19 20:45:00,76699,1,35,61,1,0,7,2,0,1,77804,1,-73,-73,-73,73144,337024,64,32,-2336,320,-589832,-2656,64,32,320,-2336,-2656,-589832,410168
2016-02-19 23:15:00,76873,1,35,71,1,0,8,2,0,1,77420,1,-384,-384,-384,-289096,674048,128,64,-24576,640,-615048,-25216,128,64,640,-24576,-25216,-615048,384952
2016-02-20 11:45:00,77062,1,35,81,1,0,9,2,0,1,77510,1,90,90,90,-952904,1348096,256,128,11520,1280,-604808,10240,256,128,1280,11520,10240,-604808,395192
2016-02-20 13:15:00,77149,0,35,86,0,0,0,0,1,-1,77081,0,-429,-429,-429,282808,0,0,-256,-109824,2560,-717192,-112384,0,-256,2560,-109824,-112384,-717192,282808
2016-02-20 13:15:00,77149,-1,36,0,0,0,0,0,1,-1,77081,-1,0,0,0,261704,21064,4,4,0,40,-717232,-40,4,4,40,0,-40,-717232,282768
2016-02-20 13:30:00,77161,-1,36,1,0,1,0,1,0,-1,77005,-1,76,76,76,272520,10532,2,-2,304,20,-716948,284,2,-2,20,304,284,-716948,283052
2016-02-20 14:05:00,77186,0,36,2,0,0,0,0,1,1,77204,0,-199,-199,-199,282634,0,0,-2,-398,20,-717366,-418,0,-2,20,-398,-418,-717366,282634
2016-02-20 14:05:00,77186,1,37,0,0,0,0,0,1,1,77204,1,0,0,0,261530,21064,4,4,0,40,-717406,-40,4,4,40,0,-40,-717406,282594
2016-02-20 14:15:00,77200,1,37,1,0,1,0,1,0,1,77200,1,-4,-4,-4,272026,10532,2,-2,-16,20,-717442,-36,2,-2,20,-16,-36,-717442,282558
