"Index","sma","pos","pos.num","pos.bars","pos.add","pos.drop","pos.add.num","pos.drop.num","action","state","SPFB.SI.Open","SPFB.SI.pos","SPFB.SI.ret","SPFB.SI.cret","cret","balance","im.balance","n","diff.n","margin","commiss","equity","perfReturn","SPFB.SI.n","SPFB.SI.diff.n","SPFB.SI.commiss","SPFB.SI.margin","SPFB.SI.perfReturn","SPFB.SI.equity","SPFB.SI.balance"
2016-02-08 13:45:00,77699,0,15,3,0,0,0,0,1,-1,77687,0,-42,-42,-42,651428,0,0,-1,-42,10,-348572,-52,0,-1,10,-42,-52,-348572,651428
2016-02-08 13:45:00,77699,-1,16,0,0,0,0,0,1,-1,77687,-1,0,0,0,630324,21064,4,4,0,40,-348612,-40,4,4,40,0,-40,-348612,651388
2016-02-08 14:04:00,77703,0,16,0,0,0,0,0,1,1,77820,0,-133,-133,-133,650816,0,0,-4,-532,40,-349184,-572,0,-4,40,-532,-572,-349184,650816
2016-02-08 14:04:00,77703,1,17,0,0,0,0,0,1,1,77820,1,0,0,0,629712,21064,4,4,0,40,-349224,-40,4,4,40,0,-40,-349224,650776
2016-02-08 14:45:00,77726,1,17,3,0,1,0,1,0,1,77776,1,-44,-44,-44,640048,10532,2,-2,-176,20,-349420,-196,2,-2,20,-176,-196,-349420,650580
2016-02-08 15:00:00,77736,0,17,3,0,0,0,0,1,-1,77700,0,-76,-76,-76,650408,0,0,-2,-152,20,-349592,-172,0,-2,20,-152,-172,-349592,650408
2016-02-08 15:00:00,77736,-1,18,0,0,0,0,0,1,-1,77700,-1,0,0,0,629304,21064,4,4,0,40,-349632,-40,4,4,40,0,-40,-349632,650368
2016-02-08 15:15:00,77749,0,18,0,0,0,0,0,1,1,77769,0,-69,-69,-69,650052,0,0,-4,-276,40,-349948,-316,0,-4,40,-276,-316,-349948,650052
2016-02-08 15:15:00,77749,1,19,0,0,0,0,0,1,1,77769,1,0,0,0,628948,21064,4,4,0,40,-349988,-40,4,4,40,0,-40,-349988,650012
2016-02-08 15:30:00,77763,1,19,1,0,1,0,1,0,1,77776,1,7,7,7,639488,10532,2,-2,28,20,-349980,8,2,-2,20,28,8,-349980,650020
2016-02-08 15:45:00,77780,1,19,2,0,1,0,2,0,1,78085,1,309,309,309,645362,5266,1,-1,618,10,-349372,608,1,-1,10,618,608,-349372,650628
2016-02-08 17:30:00,77837,1,19,9,0,1,0,3,0,1,77862,1,-223,-223,-223,650395,0,0,-1,-223,10,-349605,-233,0,-1,10,-223,-233,-349605,650395
2016-02-10 14:30:00,79525,-1,20,0,0,0,0,0,1,-1,79434,-1,0,0,0,629291,21064,4,4,0,40,-349645,-40,4,4,40,0,-40,-349645,650355
2016-02-10 14:45:00,79544,-1,20,1,0,1,0,1,0,-1,79494,-1,-60,-60,-60,639563,10532,2,-2,-240,20,-349905,-260,2,-2,20,-240,-260,-349905,650095
2016-02-10 15:00:00,79559,0,20,1,0,0,0,0,1,1,79701,0,-207,-207,-207,649661,0,0,-2,-414,20,-350339,-434,0,-2,20,-414,-434,-350339,649661
2016-02-10 15:00:00,79559,1,21,0,0,0,0,0,1,1,79701,1,0,0,0,628557,21064,4,4,0,40,-350379,-40,4,4,40,0,-40,-350379,649621
2016-02-10 15:15:00,79570,1,21,1,0,1,0,1,0,1,79644,1,-57,-57,-57,638841,10532,2,-2,-228,20,-350627,-248,2,-2,20,-228,-248,-350627,649373
2016-02-10 15:30:00,79579,0,21,1,0,0,0,0,1,-1,79545,0,-99,-99,-99,649155,0,0,-2,-198,20,-350845,-218,0,-2,20,-198,-218,-350845,649155
2016-02-10 15:30:00,79579,-1,22,0,0,0,0,0,1,-1,79545,-1,0,0,0,628051,21064,4,4,0,40,-350885,-40,4,4,40,0,-40,-350885,649115
2016-02-10 15:45:00,79583,-1,22,1,0,1,0,1,0,-1,79472,-1,73,73,73,638855,10532,2,-2,292,20,-350613,272,2,-2,20,292,272,-350613,649387
2016-02-10 16:00:00,79587,-1,22,2,0,1,0,2,0,-1,79358,-1,114,114,114,644339,5266,1,-1,228,10,-350395,218,1,-1,10,228,218,-350395,649605
2016-02-10 16:45:00,79598,0,22,4,0,0,0,0,1,1,79737,0,-379,-379,-379,649216,0,0,-1,-379,10,-350784,-389,0,-1,10,-379,-389,-350784,649216
2016-02-10 16:45:00,79598,1,23,0,0,0,0,0,1,1,79737,1,0,0,0,628112,21064,4,4,0,40,-350824,-40,4,4,40,0,-40,-350824,649176
2016-02-10 17:00:00,79604,0,23,0,0,0,0,0,1,-1,79594,0,-143,-143,-143,648564,0,0,-4,-572,40,-351436,-612,0,-4,40,-572,-612,-351436,648564
2016-02-10 17:00:00,79604,-1,24,0,0,0,0,0,1,-1,79594,-1,0,0,0,627460,21064,4,4,0,40,-351476,-40,4,4,40,0,-40,-351476,648524
2016-02-10 17:15:00,79609,0,24,0,0,0,0,0,1,1,79715,0,-121,-121,-121,648000,0,0,-4,-484,40,-352000,-524,0,-4,40,-484,-524,-352000,648000
2016-02-10 17:15:00,79609,1,25,0,0,0,0,0,1,1,79715,1,0,0,0,626896,21064,4,4,0,40,-352040,-40,4,4,40,0,-40,-352040,647960
2016-02-10 18:00:00,79616,0,25,2,0,0,0,0,1,-1,79469,0,-246,-246,-246,646936,0,0,-4,-984,40,-353064,-1024,0,-4,40,-984,-1024,-353064,646936
2016-02-10 18:00:00,79616,-1,26,0,0,0,0,0,1,-1,79469,-1,0,0,0,625832,21064,4,4,0,40,-353104,-40,4,4,40,0,-40,-353104,646896
2016-02-10 19:45:00,79594,-1,26,6,0,1,0,1,0,-1,79577,-1,-108,-108,-108,635912,10532,2,-2,-432,20,-353556,-452,2,-2,20,-432,-452,-353556,646444
2016-02-10 20:00:00,79591,-1,26,7,0,1,0,2,0,-1,79420,-1,157,157,157,641482,5266,1,-1,314,10,-353252,304,1,-1,10,314,304,-353252,646748
2016-02-10 21:00:00,79576,-1,26,11,1,0,1,2,0,-1,79069,-1,351,351,351,636557,10532,2,1,351,10,-352911,341,2,1,10,351,341,-352911,647089
2016-02-10 23:30:00,79570,-1,26,21,1,0,2,2,0,-1,79256,-1,-187,-187,-187,625631,21064,4,2,-374,20,-353305,-394,4,2,20,-374,-394,-353305,646695
2016-02-11 10:15:00,79579,0,26,23,0,0,0,0,1,1,79608,0,-352,-352,-352,645247,0,0,-4,-1408,40,-354753,-1448,0,-4,40,-1408,-1448,-354753,645247
2016-02-11 10:15:00,79579,1,27,0,0,0,0,0,1,1,79608,1,0,0,0,624143,21064,4,4,0,40,-354793,-40,4,4,40,0,-40,-354793,645207
2016-02-11 10:30:00,79584,1,27,1,0,1,0,1,0,1,79604,1,-4,-4,-4,634639,10532,2,-2,-16,20,-354829,-36,2,-2,20,-16,-36,-354829,645171
2016-02-11 10:45:00,79589,1,27,2,0,1,0,2,0,1,79767,1,163,163,163,640221,5266,1,-1,326,10,-354513,316,1,-1,10,326,316,-354513,645487
2016-02-11 13:00:00,79670,1,27,11,1,0,1,2,0,1,80092,1,325,325,325,635270,10532,2,1,325,10,-354198,315,2,1,10,325,315,-354198,645802
2016-02-11 15:30:00,79749,1,27,21,1,0,2,2,0,1,80266,1,174,174,174,625066,21064,4,2,348,20,-353870,328,4,2,20,348,328,-353870,646130
2016-02-11 18:00:00,79869,1,27,31,1,0,3,2,0,1,80189,1,-77,-77,-77,603654,42128,8,4,-308,40,-354218,-348,8,4,40,-308,-348,-354218,645782
2016-02-11 20:45:00,79916,1,27,41,1,0,4,2,0,1,80938,1,749,749,749,567438,84256,16,8,5992,80,-348306,5912,16,8,80,5992,5912,-348306,651694
2016-02-11 23:15:00,80025,1,27,51,1,0,5,2,0,1,80765,1,-173,-173,-173,480254,168512,32,16,-2768,160,-351234,-2928,32,16,160,-2768,-2928,-351234,648766
2016-02-12 10:15:00,80051,0,27,54,0,0,0,0,1,-1,79976,0,-789,-789,-789,623198,0,0,-32,-25248,320,-376802,-25568,0,-32,320,-25248,-25568,-376802,623198
2016-02-12 10:15:00,80051,-1,28,0,0,0,0,0,1,-1,79976,-1,0,0,0,602094,21064,4,4,0,40,-376842,-40,4,4,40,0,-40,-376842,623158
2016-02-12 10:30:00,80056,-1,28,1,0,1,0,1,0,-1,79987,-1,-11,-11,-11,612562,10532,2,-2,-44,20,-376906,-64,2,-2,20,-44,-64,-376906,623094
2016-02-12 10:45:00,80061,0,28,1,0,0,0,0,1,1,80265,0,-278,-278,-278,622518,0,0,-2,-556,20,-377482,-576,0,-2,20,-556,-576,-377482,622518
2016-02-12 10:45:00,80061,1,29,0,0,0,0,0,1,1,80265,1,0,0,0,601414,21064,4,4,0,40,-377522,-40,4,4,40,0,-40,-377522,622478
2016-02-12 11:15:00,80076,1,29,2,0,1,0,1,0,1,80304,1,39,39,39,612082,10532,2,-2,156,20,-377386,136,2,-2,20,156,136,-377386,622614
