"Index","SPFB.SI.Open","SPFB.SI.High","SPFB.SI.Low","SPFB.SI.Close","SPFB.SI.Volume"
2016-03-31 16:15:00,68547,68644,68345,68425,109273
2016-03-31 16:30:00,68425,68464,68086,68278,185774
2016-03-31 16:45:00,68279,68306,68158,68228,103311
2016-03-31 17:00:00,68228,68317,68067,68178,158809
2016-03-31 17:15:00,68182,68389,68171,68385,105086
2016-03-31 17:30:00,68384,68583,68381,68412,111778
2016-03-31 17:45:00,68411,68437,68117,68239,131297
2016-03-31 18:00:00,68239,68455,68223,68422,82761
2016-03-31 18:15:00,68422,68530,68335,68510,99564
2016-03-31 18:30:00,68509,68586,68475,68562,81022
2016-03-31 19:00:00,68577,68709,68577,68646,51300
2016-03-31 19:15:00,68642,68663,68467,68492,47879
2016-03-31 19:30:00,68488,68632,68483,68616,34644
2016-03-31 19:45:00,68623,68647,68548,68584,20077
2016-03-31 20:00:00,68582,68596,68334,68379,40596
2016-03-31 20:15:00,68380,68380,68180,68279,40772
2016-03-31 20:30:00,68279,68404,68244,68401,28965
2016-03-31 20:45:00,68402,68490,68329,68384,25353
2016-03-31 21:00:00,68384,68448,68277,68335,22940
2016-03-31 21:15:00,68335,68570,68247,68531,42245
2016-03-31 21:30:00,68531,68589,68430,68459,36661
2016-03-31 21:45:00,68459,68527,68380,68415,24157
2016-03-31 22:00:00,68415,68467,68351,68430,16876
2016-03-31 22:15:00,68431,68515,68430,68466,13308
2016-03-31 22:30:00,68468,68607,68437,68586,22218
2016-03-31 22:45:00,68589,68636,68555,68581,24586
2016-03-31 23:00:00,68582,68647,68570,68585,13817
2016-03-31 23:15:00,68584,68600,68449,68513,23641
2016-03-31 23:30:00,68514,68535,68419,68469,15009
2016-03-31 23:45:00,68469,68497,68420,68473,6549
2016-04-01 10:00:00,68422,68558,68197,68558,213520
2016-04-01 10:15:00,68557,68672,68494,68543,122902
2016-04-01 10:30:00,68539,68643,68436,68487,101086
2016-04-01 10:45:00,68490,68658,68480,68568,106140
2016-04-01 11:00:00,68565,68633,68511,68558,79070
2016-04-01 11:15:00,68555,68602,68479,68520,73198
2016-04-01 11:30:00,68522,68535,68400,68467,76848
2016-04-01 11:45:00,68469,68498,68419,68432,33389
2016-04-01 12:00:00,68432,68504,68419,68424,48026
2016-04-01 12:15:00,68422,68499,68415,68484,48291
2016-04-01 12:30:00,68485,68738,68479,68676,171668
2016-04-01 12:45:00,68676,68970,68671,68967,210779
2016-04-01 13:00:00,68967,69147,68886,68917,174724
2016-04-01 13:15:00,68917,69025,68840,68994,77768
2016-04-01 13:30:00,68994,69120,68938,69007,83044
2016-04-01 13:45:00,69006,69348,68971,69321,128415
2016-04-01 14:00:00,69321,69442,69283,69373,113308
2016-04-01 14:15:00,69373,69479,69300,69435,72314
2016-04-01 14:30:00,69435,69552,69413,69511,84381
2016-04-01 14:45:00,69513,69580,69426,69432,78678
2016-04-01 15:00:00,69434,69498,69213,69214,98065
2016-04-01 15:15:00,69216,69231,69070,69166,99719
2016-04-01 15:30:00,69166,69536,69144,69415,274454
2016-04-01 15:45:00,69419,69649,69380,69648,151384
2016-04-01 16:00:00,69648,69750,69400,69466,168300
2016-04-01 16:15:00,69465,69655,69384,69506,163591
2016-04-01 16:30:00,69505,69686,69500,69614,91666
2016-04-01 16:45:00,69613,69626,69481,69564,62177
2016-04-01 17:00:00,69565,69677,69459,69466,103988
2016-04-01 17:15:00,69464,69517,69315,69462,87239
2016-04-01 17:30:00,69460,69509,69328,69466,62983
2016-04-01 17:45:00,69468,69515,69350,69353,59398
2016-04-01 18:00:00,69354,69434,69270,69322,60762
2016-04-01 18:15:00,69320,69419,69239,69379,62289
2016-04-01 18:30:00,69378,69379,69200,69201,58551
2016-04-01 19:00:00,69249,69306,69183,69250,24049
2016-04-01 19:15:00,69254,69260,69170,69178,26340
2016-04-01 19:30:00,69176,69185,68809,69026,111332
2016-04-01 19:45:00,69026,69069,68874,68950,39818
2016-04-01 20:00:00,68956,68959,68587,68647,86866
2016-04-01 20:15:00,68647,68736,68573,68698,51505
2016-04-01 20:30:00,68697,68888,68619,68781,43796
2016-04-01 20:45:00,68785,68923,68672,68885,36020
2016-04-01 21:00:00,68890,68934,68728,68854,35523
2016-04-01 21:15:00,68854,68956,68777,68943,26038
2016-04-01 21:30:00,68945,68976,68880,68888,21460
2016-04-01 21:45:00,68889,68922,68856,68900,10957
2016-04-01 22:00:00,68901,68909,68694,68747,33776
2016-04-01 22:15:00,68744,68795,68712,68782,11722
2016-04-01 22:30:00,68783,68868,68741,68851,17754
2016-04-01 22:45:00,68850,68887,68833,68866,12736
2016-04-01 23:00:00,68866,68897,68843,68881,19368
2016-04-01 23:15:00,68881,68970,68879,68934,18264
2016-04-01 23:30:00,68935,69006,68874,68913,19571
2016-04-01 23:45:00,68913,68988,68913,68954,9787
2016-04-04 10:00:00,68996,69999,68996,69952,272722
2016-04-04 10:15:00,69951,70230,69947,70177,288310
2016-04-04 10:30:00,70179,70299,70126,70144,230859
2016-04-04 10:45:00,70146,70260,70128,70232,129636
2016-04-04 11:00:00,70232,70241,69987,70004,151866
2016-04-04 11:15:00,70004,70095,69967,70060,176868
2016-04-04 11:30:00,70060,70212,70021,70157,155064
2016-04-04 11:45:00,70155,70163,69931,69960,92644
2016-04-04 12:00:00,69957,69998,69820,69830,92624
2016-04-04 12:15:00,69831,69834,69623,69634,120190
2016-04-04 12:30:00,69634,69761,69612,69653,101724
2016-04-04 12:45:00,69655,69670,69558,69650,82694
2016-04-04 13:00:00,69654,69817,69649,69691,80254
2016-04-04 13:15:00,69693,69738,69613,69735,40098
2016-04-04 13:30:00,69737,69855,69721,69765,75981
2016-04-04 13:45:00,69766,69770,69660,69669,41771
2016-04-04 14:00:00,69667,69667,69544,69643,54918
2016-04-04 14:15:00,69641,69710,69567,69591,46379
2016-04-04 14:30:00,69590,69610,69443,69535,96704
2016-04-04 14:45:00,69535,69625,69402,69438,82056
2016-04-04 15:00:00,69437,69439,69106,69151,162986
2016-04-04 15:15:00,69153,69340,69106,69305,113451
2016-04-04 15:30:00,69305,69433,69238,69381,69868
2016-04-04 15:45:00,69381,69540,69280,69307,99131
2016-04-04 16:00:00,69304,69463,69260,69458,76679
2016-04-04 16:15:00,69458,69588,69390,69538,85608
2016-04-04 16:30:00,69543,69616,69372,69386,105644
2016-04-04 16:45:00,69387,69466,69319,69411,83048
2016-04-04 17:00:00,69414,69490,69309,69440,101506
2016-04-04 17:15:00,69436,69474,69362,69416,66616
2016-04-04 17:30:00,69418,69437,69201,69312,113211
2016-04-04 17:45:00,69314,69543,69303,69540,79124
2016-04-04 18:00:00,69536,69606,69485,69558,68039
2016-04-04 18:15:00,69555,69729,69474,69701,98393
2016-04-04 18:30:00,69702,69720,69533,69609,68462
2016-04-04 19:00:00,69611,69612,69483,69577,32390
2016-04-04 19:15:00,69575,69670,69550,69650,27828
2016-04-04 19:30:00,69650,69764,69646,69692,41186
2016-04-04 19:45:00,69695,69799,69695,69756,48165
2016-04-04 20:00:00,69754,69893,69749,69793,55815
2016-04-04 20:15:00,69795,69817,69668,69748,31976
2016-04-04 20:30:00,69748,69782,69694,69697,17359
2016-04-04 20:45:00,69697,69838,69575,69827,41075
2016-04-04 21:00:00,69831,69985,69796,69894,66933
2016-04-04 21:15:00,69897,70036,69897,69952,53154
2016-04-04 21:30:00,69953,69968,69862,69910,26506
2016-04-04 21:45:00,69910,69973,69882,69918,15867
2016-04-04 22:00:00,69915,69993,69908,69971,13920
2016-04-04 22:15:00,69966,69993,69917,69949,15073
2016-04-04 22:30:00,69949,69963,69887,69900,17823
2016-04-04 22:45:00,69902,70084,69890,70060,24198
2016-04-04 23:00:00,70059,70076,70035,70064,15846
2016-04-04 23:15:00,70064,70091,70041,70041,15482
2016-04-04 23:30:00,70042,70088,70033,70086,15956
2016-04-04 23:45:00,70086,70138,70072,70130,12787
2016-04-05 10:00:00,70105,70450,70105,70284,191239
2016-04-05 10:15:00,70285,70328,70152,70217,104012
2016-04-05 10:30:00,70217,70347,70161,70272,112658
2016-04-05 10:45:00,70277,70370,70256,70279,89290
2016-04-05 11:00:00,70281,70410,70185,70211,115218
2016-04-05 11:15:00,70208,70248,69963,70076,170087
2016-04-05 11:30:00,70075,70213,70043,70139,97598
2016-04-05 11:45:00,70140,70189,69930,69994,108409
2016-04-05 12:00:00,69989,70095,69945,70050,79619
2016-04-05 12:15:00,70047,70207,69992,70163,76532
2016-04-05 12:30:00,70163,70355,70152,70324,118162
2016-04-05 12:45:00,70326,70492,70324,70445,144247
2016-04-05 13:00:00,70444,70541,70368,70422,107019
2016-04-05 13:15:00,70422,70477,70318,70435,95782
2016-04-05 13:30:00,70434,70467,70323,70340,47230
2016-04-05 13:45:00,70340,70340,70240,70282,52348
2016-04-05 14:00:00,70288,70416,70288,70370,46222
2016-04-05 14:15:00,70371,70419,70269,70286,52207
