"Index","SPFB.RTS.Open","SPFB.RTS.High","SPFB.RTS.Low","SPFB.RTS.Close","SPFB.RTS.Volume"
2015-12-29 11:00:00,75070,75660,75060,75460,21458
2015-12-29 11:15:00,75480,76110,75350,75860,28367
2015-12-29 11:30:00,75860,76000,75770,75880,9279
2015-12-29 11:45:00,75870,75930,75600,75600,9777
2015-12-29 12:00:00,75600,75890,75510,75780,9080
2015-12-29 12:15:00,75780,75900,75700,75880,5326
2015-12-29 12:30:00,75870,75950,75760,75890,7770
2015-12-29 12:45:00,75890,75990,75740,75870,4796
2015-12-29 13:00:00,75870,75910,75600,75610,6117
2015-12-29 13:15:00,75620,75660,75270,75410,9661
2015-12-29 13:30:00,75400,75650,75400,75590,8392
2015-12-29 13:45:00,75580,75620,75440,75580,4169
2015-12-29 14:45:00,75580,75590,75290,75370,5456
2015-12-29 15:00:00,75360,75460,75190,75440,6176
2015-12-29 15:15:00,75440,75490,75260,75290,5032
2015-12-29 15:30:00,75290,75680,75240,75650,11675
2015-12-29 15:45:00,75670,75750,75570,75660,7624
2015-12-29 16:00:00,75680,75960,75660,75850,13006
2015-12-29 16:15:00,75850,75920,75740,75880,6889
2015-12-29 16:30:00,75880,76200,75870,76170,13831
2015-12-29 16:45:00,76190,76390,76160,76360,15971
2015-12-29 17:00:00,76370,76620,76360,76480,20481
2015-12-29 17:15:00,76490,76510,76120,76170,14247
2015-12-29 17:30:00,76180,76470,76160,76370,13499
2015-12-29 17:45:00,76380,76440,76170,76320,8389
2015-12-29 18:00:00,76320,76450,76260,76430,8483
2015-12-29 18:15:00,76430,77040,76430,77010,22758
2015-12-29 18:30:00,77020,77240,76930,77200,18929
2015-12-29 19:00:00,77100,77120,76850,77010,8920
2015-12-29 19:15:00,77010,77170,76910,76910,5775
2015-12-29 19:30:00,76900,77040,76830,76880,4044
2015-12-29 19:45:00,76880,76990,76860,76910,2347
2015-12-29 20:00:00,76920,77070,76910,77020,3224
2015-12-29 20:15:00,77020,77070,76930,76950,1942
2015-12-29 20:30:00,76940,77000,76910,76980,1469
2015-12-29 20:45:00,76990,77020,76870,76920,2435
2015-12-29 21:00:00,76930,77000,76930,76950,1362
2015-12-29 21:15:00,76960,77010,76950,76970,1156
2015-12-29 21:30:00,76970,76980,76930,76950,1238
2015-12-29 21:45:00,76960,77160,76930,77150,3059
2015-12-29 22:00:00,77140,77320,77070,77260,5601
2015-12-29 22:15:00,77270,77320,77150,77280,4257
2015-12-29 22:30:00,77280,77440,77260,77380,5662
2015-12-29 22:45:00,77380,77400,77350,77380,1298
2015-12-29 23:00:00,77370,77380,77260,77270,2820
2015-12-29 23:15:00,77260,77320,77260,77280,1704
2015-12-29 23:30:00,77280,77290,77230,77250,1859
2015-12-29 23:45:00,77240,77290,77240,77250,1657
2015-12-30 10:00:00,77210,77210,76350,76360,26323
2015-12-30 10:15:00,76360,76630,76300,76440,11645
2015-12-30 10:30:00,76450,76690,76410,76490,7467
2015-12-30 10:45:00,76480,76630,76320,76340,8442
2015-12-30 11:00:00,76340,76360,75720,75900,22736
2015-12-30 11:15:00,75900,76090,75710,75850,20037
2015-12-30 11:30:00,75860,76160,75790,76060,9696
2015-12-30 11:45:00,76060,76090,75860,75920,8211
2015-12-30 12:00:00,75910,75910,75550,75710,17375
2015-12-30 12:15:00,75700,75760,75460,75580,7379
2015-12-30 12:30:00,75570,75740,75520,75660,6463
2015-12-30 12:45:00,75660,75870,75570,75830,7083
2015-12-30 13:00:00,75840,76070,75770,75960,8354
2015-12-30 13:15:00,75970,76050,75800,75880,4056
2015-12-30 13:30:00,75870,75890,75710,75800,3460
2015-12-30 13:45:00,75780,75980,75640,75930,5927
2015-12-30 14:00:00,75930,75980,75850,75920,3345
2015-12-30 14:15:00,75910,76050,75860,75890,5939
2015-12-30 14:30:00,75890,76040,75880,75950,3114
2015-12-30 14:45:00,75940,76150,75840,75860,6504
2015-12-30 15:00:00,75860,75960,75730,75890,6311
2015-12-30 15:15:00,75890,76160,75820,76140,5278
2015-12-30 15:30:00,76130,76190,75870,75890,5616
2015-12-30 15:45:00,75870,76170,75850,76100,5259
2015-12-30 16:00:00,76090,76180,75940,75960,4244
2015-12-30 16:15:00,75950,76580,75930,76530,18343
2015-12-30 16:30:00,76530,76550,76230,76490,11299
2015-12-30 16:45:00,76490,76530,75980,76140,8327
2015-12-30 17:00:00,76130,76290,75770,75870,11555
2015-12-30 17:15:00,75850,75880,75600,75770,11310
2015-12-30 17:30:00,75770,75950,75640,75890,8646
2015-12-30 17:45:00,75890,75970,75640,75660,7774
2015-12-30 18:00:00,75660,75780,75580,75680,6771
2015-12-30 18:15:00,75690,75840,75650,75710,7803
2015-12-30 18:30:00,75720,75820,75390,75470,16509
2015-12-30 19:00:00,75480,75770,75480,75610,5390
2015-12-30 19:15:00,75620,75620,75250,75290,8892
2015-12-30 19:30:00,75280,75430,75230,75300,3803
2015-12-30 19:45:00,75290,75390,75250,75350,1868
2015-12-30 20:00:00,75330,75470,75270,75380,3191
2015-12-30 20:15:00,75380,75430,75330,75340,1122
2015-12-30 20:30:00,75350,75350,75160,75200,3026
2015-12-30 20:45:00,75200,75250,75120,75190,1939
2015-12-30 21:00:00,75190,75240,75130,75160,2250
2015-12-30 21:15:00,75160,75280,75140,75220,1456
2015-12-30 21:30:00,75230,75400,75210,75310,1736
2015-12-30 21:45:00,75310,75370,75190,75230,1869
2015-12-30 22:00:00,75230,75360,75230,75340,2215
2015-12-30 22:15:00,75340,75450,75320,75350,2801
2015-12-30 22:30:00,75340,75420,75320,75370,907
2015-12-30 22:45:00,75370,75390,75320,75370,791
2015-12-30 23:00:00,75370,75400,75330,75370,903
2015-12-30 23:15:00,75360,75590,75360,75500,3284
2015-12-30 23:30:00,75510,75510,75380,75430,2054
2015-12-30 23:45:00,75430,75470,75250,75470,1999
2016-01-04 10:00:00,75390,76320,75250,75970,22084
2016-01-04 10:15:00,75970,76140,75580,75640,8549
2016-01-04 10:30:00,75650,75690,75280,75440,13832
2016-01-04 10:45:00,75430,75570,75390,75480,7452
2016-01-04 11:00:00,75500,75580,74900,74950,20407
2016-01-04 11:15:00,74950,75030,74180,74240,31025
2016-01-04 11:30:00,74250,74480,74120,74320,12355
2016-01-04 11:45:00,74320,74480,74010,74430,14384
2016-01-04 12:00:00,74440,74440,74170,74240,6589
2016-01-04 12:15:00,74240,74460,74050,74390,8926
2016-01-04 12:30:00,74390,74660,74290,74550,9525
2016-01-04 12:45:00,74540,74560,74430,74530,3946
2016-01-04 13:00:00,74540,74850,74460,74850,7574
2016-01-04 13:15:00,74850,74970,74730,74760,7278
2016-01-04 13:30:00,74760,74930,74640,74880,5572
2016-01-04 13:45:00,74880,74960,74730,74880,6606
2016-01-04 14:00:00,74880,75240,74880,74950,7606
2016-01-04 14:15:00,74950,75090,74710,74710,7110
2016-01-04 14:30:00,74710,74860,74480,74630,8262
2016-01-04 14:45:00,74630,74890,74600,74800,5085
2016-01-04 15:00:00,74800,74940,74770,74910,3112
2016-01-04 15:15:00,74900,74910,74660,74790,4761
2016-01-04 15:30:00,74790,75080,74770,74940,5487
2016-01-04 15:45:00,74940,75070,74710,74720,6189
2016-01-04 16:00:00,74720,74960,74600,74760,8018
2016-01-04 16:15:00,74760,75130,74720,75050,8374
2016-01-04 16:30:00,75060,75100,74890,74940,6748
2016-01-04 16:45:00,74960,75120,74930,74950,5219
2016-01-04 17:00:00,74940,75090,74900,75060,4813
2016-01-04 17:15:00,75050,75280,75050,75240,7433
2016-01-04 17:30:00,75240,75250,74970,75010,9481
2016-01-04 17:45:00,75020,75260,74980,75240,8717
2016-01-04 18:00:00,75230,75440,75140,75270,14158
2016-01-04 18:15:00,75280,75420,75030,75050,13241
2016-01-04 18:30:00,75040,75070,74740,74770,13875
2016-01-04 19:00:00,74730,74730,74050,74160,12780
2016-01-04 19:15:00,74160,74180,73600,73760,17699
2016-01-04 19:30:00,73750,73840,73600,73700,7914
2016-01-04 19:45:00,73700,73940,73620,73780,5550
2016-01-04 20:00:00,73790,73960,73730,73930,4672
2016-01-04 20:15:00,73920,73940,73790,73830,2393
2016-01-04 20:30:00,73840,73940,73800,73930,1497
2016-01-04 20:45:00,73920,74050,73870,73920,3986
2016-01-04 21:00:00,73900,74350,73900,74270,6549
2016-01-04 21:15:00,74260,74360,74110,74180,4745
2016-01-04 21:30:00,74180,74250,74140,74140,1891
2016-01-04 21:45:00,74140,74300,74140,74240,2189
2016-01-04 22:00:00,74230,74260,74080,74120,3238
2016-01-04 22:15:00,74140,74270,74110,74220,3062
2016-01-04 22:30:00,74240,74250,74130,74160,1018
2016-01-04 22:45:00,74150,74160,74050,74130,1644
2016-01-04 23:00:00,74110,74120,74070,74110,984
2016-01-04 23:15:00,74110,74170,74110,74160,1057
2016-01-04 23:30:00,74160,74240,74120,74180,2691
2016-01-04 23:45:00,74180,74300,74160,74300,1025
2016-01-05 10:00:00,74320,75070,74320,74700,20191
2016-01-05 10:15:00,74710,74800,74540,74680,8271
2016-01-05 10:30:00,74690,74950,74680,74870,5640
2016-01-05 10:45:00,74880,74990,74680,74710,7979
2016-01-05 11:00:00,74700,74850,74440,74520,11710
2016-01-05 11:15:00,74520,74760,74380,74720,10465
2016-01-05 11:30:00,74700,74910,74600,74780,9470
2016-01-05 11:45:00,74790,74830,74560,74810,7746
2016-01-05 12:00:00,74800,74840,74560,74650,6633
2016-01-05 12:15:00,74640,74780,74570,74580,4511
2016-01-05 12:30:00,74580,74850,74540,74810,5440
2016-01-05 12:45:00,74800,74880,74670,74780,5537
2016-01-05 13:00:00,74770,74790,74180,74210,14828
2016-01-05 13:15:00,74210,74420,74200,74300,5801
2016-01-05 13:30:00,74300,74410,74260,74370,3019
2016-01-05 13:45:00,74370,74460,74320,74350,4298
2016-01-05 14:00:00,74350,74400,74230,74300,2146
2016-01-05 14:15:00,74300,74450,74280,74310,2729
2016-01-05 14:30:00,74310,74560,74260,74490,7384
2016-01-05 14:45:00,74480,74540,74420,74490,2733
2016-01-05 15:00:00,74510,74540,74290,74360,4229
2016-01-05 15:15:00,74350,74470,74280,74330,5245
2016-01-05 15:30:00,74330,74520,74260,74480,4089
2016-01-05 15:45:00,74490,74570,74380,74530,3546
2016-01-05 16:00:00,74530,75180,74470,74930,21578
2016-01-05 16:15:00,74950,75430,74940,75240,16761
2016-01-05 16:30:00,75260,75420,75050,75220,12233
