<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.Si,1,20160309,141300,72263.0000000,72265.0000000,72243.0000000,72247.0000000,2626
SPFB.Si,1,20160309,141400,72249.0000000,72310.0000000,72249.0000000,72305.0000000,3444
SPFB.Si,1,20160309,141500,72302.0000000,72314.0000000,72280.0000000,72290.0000000,2308
SPFB.Si,1,20160309,141600,72287.0000000,72326.0000000,72285.0000000,72317.0000000,2598
SPFB.Si,1,20160309,141700,72316.0000000,72324.0000000,72301.0000000,72303.0000000,1848
SPFB.Si,1,20160309,141800,72303.0000000,72305.0000000,72273.0000000,72286.0000000,3430
SPFB.Si,1,20160309,141900,72284.0000000,72290.0000000,72258.0000000,72278.0000000,1321
SPFB.Si,1,20160309,142000,72280.0000000,72329.0000000,72276.0000000,72328.0000000,2294
SPFB.Si,1,20160309,142100,72325.0000000,72327.0000000,72285.0000000,72295.0000000,3052
SPFB.Si,1,20160309,142200,72294.0000000,72303.0000000,72269.0000000,72301.0000000,1150
SPFB.Si,1,20160309,142300,72300.0000000,72304.0000000,72295.0000000,72302.0000000,790
SPFB.Si,1,20160309,142400,72302.0000000,72312.0000000,72293.0000000,72305.0000000,992
SPFB.Si,1,20160309,142500,72305.0000000,72309.0000000,72292.0000000,72302.0000000,356
SPFB.Si,1,20160309,142600,72302.0000000,72302.0000000,72266.0000000,72272.0000000,744
SPFB.Si,1,20160309,142700,72277.0000000,72327.0000000,72273.0000000,72322.0000000,3315
SPFB.Si,1,20160309,142800,72324.0000000,72344.0000000,72317.0000000,72338.0000000,2034
SPFB.Si,1,20160309,142900,72338.0000000,72356.0000000,72329.0000000,72347.0000000,4801
SPFB.Si,1,20160309,143000,72349.0000000,72349.0000000,72321.0000000,72325.0000000,2765
SPFB.Si,1,20160309,143100,72328.0000000,72331.0000000,72306.0000000,72313.0000000,2695
SPFB.Si,1,20160309,143200,72313.0000000,72315.0000000,72282.0000000,72291.0000000,1891
SPFB.Si,1,20160309,143300,72293.0000000,72303.0000000,72262.0000000,72265.0000000,1237
